SID	Annotation	Site begin	Site end	Site name	Overlapped symbols	Overlapped perc.	Partner overlapped perc.	Partner begin	Partner end	Partner name
CHR	1	6	1106	NP_0002A	1101	100	100	6	1106	NP_RS00005
CHR	1	1310	1861	NP_0004A	552	100	100	1310	1861	NP_RS00015
CHR	1	1933	3858	NP_0006A	1926	100	100	1933	3858	NP_RS00020
CHR	1	3961	4830	NP_0008A	870	100	100	3961	4830	NP_RS00025
CHR	1	4864	5238	NP_0010A	375	100	100	4864	5238	NP_RS00030
CHR	1	5289	6305	NP_0012A	1017	100	100	5289	6305	NP_RS00035
CHR	1	6437	7414	NP_0014A	978	100	100	6437	7414	NP_RS00040
CHR	1	7452	8102	NP_0016A	651	100	100	7452	8102	NP_RS00045
CHR	1	8106	8744	NP_0018A	639	100	100	8106	8744	NP_RS00050
CHR	1	8784	9524	NP_0020A	741	100	100	8784	9524	NP_RS00055
CHR	1	9525	9974	NP_0022A	450	100	100	9525	9974	NP_RS00060
CHR	1	10056	10415	NP_0024A	360	100	100	10056	10415	NP_RS00065
CHR	1	10403	10753	NP_0026A	351	100	100	10403	10753	NP_RS00070
CHR	1	10790	11356	NP_0028A	567	100	100	10790	11356	NP_RS00075
CHR	1	11497	12687	NP_0030A	1191	100	100	11497	12687	NP_RS00080
CHR	1	12688	13455	NP_0032A	768	100	77	12688	13689	NP_RS00085
CHR	1	13544	13870	NP_0034A	0	0	0	-	-	
CHR	1	13872	14303	NP_0036A	432	100	100	13872	14303	NP_RS00095
CHR	1	14372	14908	NP_0038A	537	100	100	14372	14908	NP_RS00100
CHR	1	14974	16449	NP_0040A	1476	100	100	14974	16449	NP_RS00105
CHR	1	16562	18856	NP_0042A	2295	100	100	16562	18856	NP_RS00110
CHR	1	18907	19326	NP_0044A	420	100	100	18907	19326	NP_RS00115
CHR	1	19448	19627	NP_0046A	180	100	100	19448	19627	NP_RS00120
CHR	1	19733	20146	NP_0048A	414	100	100	19733	20146	NP_RS00125
CHR	1	20186	20857	NP_0050A	672	100	100	20186	20857	NP_RS00130
CHR	1	20919	21731	NP_0052A	813	100	100	20919	21731	NP_RS00135
CHR	1	21724	22536	NP_0054A	813	100	100	21724	22536	NP_RS00140
CHR	1	22737	23171	NP_0056A	435	100	100	22737	23171	NP_RS00145
CHR	1	23247	23489	NP_0058A	243	100	100	23247	23489	NP_RS00150
CHR	1	23556	25034	NP_0060A	1479	100	100	23556	25034	NP_RS00155
CHR	1	25106	25519	NP_0062A	414	100	100	25106	25519	NP_RS00160
CHR	1	25516	26430	NP_0064A	915	100	100	25516	26430	NP_RS00165
CHR	1	26480	28222	NP_0066A	1743	100	100	26480	28222	NP_RS00170
CHR	1	28298	28840	NP_0068A	456	84	100	28298	28753	NP_RS00175
CHR	1	28984	29949	NP_0070A	966	100	99	28975	29949	NP_RS00180
CHR	1	30086	30784	NP_0072A	699	100	100	30086	30784	NP_RS00185
CHR	1	30771	31496	NP_0074A	726	100	100	30771	31496	NP_RS00190
CHR	1	31534	32904	NP_0076A	1371	100	100	31534	32904	NP_RS00195
CHR	1	33032	33484	NP_0078A	453	100	100	33032	33484	NP_RS00200
CHR	1	33527	33814	NP_0080A	288	100	100	33527	33814	NP_RS00205
CHR	1	33811	34458	NP_0082A	648	100	100	33811	34458	NP_RS00210
CHR	1	34551	35135	NP_0084A	585	100	100	34551	35135	NP_RS00215
CHR	1	35132	35752	NP_0086A	621	100	100	35132	35752	NP_RS00220
CHR	1	35749	35925	NP_0088A	0	0	0	-	-	
CHR	1	36122	39163	NP_0090A	3042	100	100	36122	39163	NP_RS00225
CHR	1	39190	39801	NP_0092A	612	100	100	39190	39801	NP_RS00230
CHR	1	39868	40017	NP_0094A	150	100	100	39868	40017	NP_RS00235
CHR	1	40146	41546	NP_0096A	1401	100	100	40146	41546	NP_RS00240
CHR	1	41621	42901	NP_0098A	1281	100	100	41621	42901	NP_RS00245
CHR	1	42888	43544	NP_0100A	657	100	100	42888	43544	NP_RS00250
CHR	1	43541	44668	NP_0102A	1128	100	100	43541	44668	NP_RS00255
CHR	1	44722	46146	NP_0104A	1425	100	100	44722	46146	NP_RS00260
CHR	1	46208	47011	NP_0106A	804	100	100	46208	47011	NP_RS00265
CHR	1	47225	47452	NP_0108A	228	100	100	47225	47452	NP_RS00270
CHR	1	47449	49014	NP_0110A	1566	100	100	47449	49014	NP_RS00275
CHR	1	49016	50848	NP_0112A	1833	100	100	49016	50848	NP_RS00280
CHR	1	50848	54027	NP_0114A	2904	91	100	51124	54027	NP_RS00285
CHR	1	54020	56704	NP_0116A	2685	100	100	54020	56704	NP_RS00290
CHR	1	56711	57136	NP_0118A	426	100	100	56711	57136	NP_RS00295
CHR	1	57142	58068	NP_0120A	927	100	100	57142	58068	NP_RS00300
CHR	1	58186	58614	NP_0122A	429	100	100	58186	58614	NP_RS00305
CHR	1	58614	59225	NP_0124A	612	100	100	58611	59225	NP_RS00310
CHR	1	59299	60636	NP_0126A	1338	100	100	59299	60636	NP_RS00315
CHR	1	60633	61388	NP_0128A	756	100	100	60633	61388	NP_RS00320
CHR	1	61538	63727	NP_0130A	2190	100	100	61538	63727	NP_RS00325
CHR	1	63862	66135	NP_0132A	2274	100	100	63862	66135	NP_RS00330
CHR	1	66192	66542	NP_0134A	351	100	100	66192	66542	NP_RS00335
CHR	1	66625	67287	NP_0136A	663	100	100	66625	67287	NP_RS00340
CHR	1	67270	68724	NP_0138A	1455	100	100	67270	68724	NP_RS14055
CHR	1	68731	69210	NP_0140A	480	100	100	68731	69210	NP_RS00350
CHR	1	69266	70954	NP_0142A	1689	100	100	69266	70954	NP_RS00355
CHR	1	70951	72837	NP_0144A	1887	100	100	70951	72837	NP_RS00360
CHR	1	72886	73431	NP_0146A	546	100	100	72886	73431	NP_RS00365
CHR	1	73546	74070	NP_0148A	492	94	100	73546	74037	NP_RS00370
CHR	1	74052	74459	NP_0150A	408	100	100	74052	74459	NP_RS00375
CHR	1	74452	75093	NP_0152A	642	100	100	74452	75093	NP_RS00380
CHR	1	75090	75551	NP_0154A	462	100	100	75090	75551	NP_RS00385
CHR	1	75544	76251	NP_0156A	708	100	100	75544	76251	NP_RS00390
CHR	1	76248	78095	NP_0158A	1848	100	100	76248	78095	NP_RS00395
CHR	1	78201	80363	NP_0160A	2163	100	100	78201	80363	NP_RS00400
CHR	1	80504	81214	NP_0162A	711	100	100	80504	81214	NP_RS00405
CHR	1	81268	82902	NP_0164A	1635	100	100	81268	82902	NP_RS00410
CHR	1	82918	83652	NP_0166A	735	100	100	82918	83652	NP_RS00415
CHR	1	83645	84424	NP_0168A	780	100	100	83645	84424	NP_RS00420
CHR	1	84426	85562	NP_0170A	1137	100	100	84426	85562	NP_RS00425
CHR	1	85559	86518	NP_0172A	960	100	100	85559	86518	NP_RS00430
CHR	1	86582	87898	NP_0174A	1317	100	100	86582	87898	NP_RS00435
CHR	1	88031	88702	NP_0176A	672	100	100	88031	88702	NP_RS00440
CHR	1	88807	89910	NP_0178A	1104	100	100	88807	89910	NP_RS00445
CHR	1	89986	90369	NP_0180A	384	100	100	89986	90369	NP_RS00450
CHR	1	90374	91480	NP_0182A	1107	100	100	90374	91480	NP_RS00455
