SID	Annotation	Site begin	Site end	Site name	Overlapped symbols	Overlapped perc.	Partner overlapped perc.	Partner begin	Partner end	Partner name
-1	1	6	1106	NP_0002A	1101	100	100	6	1106	NP_RS00005
-1	1	5289	6305	NP_0012A	1017	100	100	5289	6305	NP_RS00035
-1	1	9525	9974	NP_0022A	450	100	100	9525	9974	NP_RS00060
-1	1	13872	14303	NP_0036A	432	100	100	13872	14303	NP_RS00095
-1	1	22737	23171	NP_0056A	435	100	100	22737	23171	NP_RS00145
-1	1	23247	23489	NP_0058A	243	100	100	23247	23489	NP_RS00150
-1	1	23556	25034	NP_0060A	1479	100	100	23556	25034	NP_RS00155
-1	1	34551	35135	NP_0084A	585	100	100	34551	35135	NP_RS00215
-1	1	60633	61388	NP_0128A	756	100	100	60633	61388	NP_RS00320
-1	1	74052	74459	NP_0150A	408	100	100	74052	74459	NP_RS00375
-1	1	75090	75551	NP_0154A	462	100	100	75090	75551	NP_RS00385
-1	1	76248	78095	NP_0158A	1848	100	100	76248	78095	NP_RS00395
-1	1	78201	80363	NP_0160A	2163	100	100	78201	80363	NP_RS00400
-1	1	84426	85562	NP_0170A	1137	100	100	84426	85562	NP_RS00425
-1	1	91488	91943	NP_0184A	456	100	100	91488	91943	NP_RS00460
-1	1	94020	94910	NP_0190A	891	100	100	94020	94910	NP_RS00475
-1	1	101973	103505	NP_0204A	1533	100	99	101973	103517	NP_RS00510
-1	1	116202	116495	NP_0230A	294	100	100	116202	116495	NP_RS00575
-1	1	121305	121388	NP_0237H	0	0	0	-	-	
-1	1	122922	123458	NP_0242A	537	100	100	122922	123458	NP_RS00605
-1	1	145365	146648	NP_0284A	1284	100	100	145365	146648	NP_RS00715
-1	1	150936	151502	NP_0292A	567	100	100	150936	151502	NP_RS00735
-1	1	151686	152906	NP_0294A	1221	100	100	151686	152906	NP_RS00740
-1	1	153318	153623	NP_0298A	0	0	0	-	-	
-1	1	164418	165404	NP_0322A	966	98	100	164418	165383	NP_RS00820
-1	1	180423	181421	NP_0348A	999	100	99	180423	181430	NP_RS00890
-1	1	183996	185072	NP_0360A	1077	100	100	183996	185072	NP_RS00920
-1	1	188526	188852	NP_0364A	327	100	100	188526	188852	NP_RS00930
-1	1	192546	193538	NP_0372A	993	100	100	192546	193538	NP_RS00950
-1	1	194589	195029	NP_0376A	441	100	100	194589	195029	NP_RS00960
-1	1	195075	195299	NP_0378A	225	100	100	195075	195299	NP_RS00965
-1	1	200340	200777	NP_0394A	438	100	100	200340	200777	NP_RS01010
-1	1	202443	202907	NP_0402A	465	100	100	202443	202907	NP_RS01030
-1	1	203241	205214	NP_0404A	1974	100	100	203241	205214	NP_RS01035
-1	1	209283	210242	NP_0418A	960	100	100	209283	210242	NP_RS01070
-1	1	216903	217220	NP_0424A	318	100	100	216903	217220	NP_RS01100
-1	1	233439	233603	NP_0456A	165	100	74	233439	233660	NP_RS01180
-1	1	237702	238022	NP_0472A	321	100	100	237702	238022	NP_RS01220
-1	1	238701	242297	NP_0476A	3597	100	100	238701	242297	NP_RS01230
-1	1	242313	242735	NP_0478A	423	100	100	242313	242735	NP_RS01235
-1	1	242814	242981	NP_0480A	0	0	0	-	-	
-1	1	247302	249545	NP_0492A	2244	100	100	247302	249545	NP_RS01265
-1	1	269331	271964	NP_0538A	2634	100	100	269331	271964	NP_RS01375
-1	1	280185	280928	NP_0554A	744	100	100	280185	280928	NP_RS01415
-1	1	281019	282569	NP_0556A	1551	100	100	281019	282569	NP_RS01420
-1	1	283557	284681	NP_0560A	1125	100	100	283557	284681	NP_RS01430
-1	1	295590	296573	NP_0584A	984	100	100	295590	296573	NP_RS01495
-1	1	299964	300944	NP_0590A	981	100	100	299964	300944	NP_RS01510
-1	1	309117	310814	NP_0608A	1698	100	100	309117	310814	NP_RS01555
-1	1	319698	321233	NP_0624A	1536	100	100	319698	321233	NP_RS01595
-1	1	324621	324977	NP_0628A	357	100	100	324621	324977	NP_RS01605
-1	1	327003	327464	NP_0640A	462	100	100	327003	327464	NP_RS01630
-1	1	327687	328562	NP_0642A	822	94	100	327687	328508	NP_RS01640
-1	1	335826	336257	NP_0656A	432	100	100	335826	336257	NP_RS01670
-1	1	336945	337997	NP_0660A	1053	100	100	336945	337997	NP_RS01680
-1	1	338049	338816	NP_0662A	768	100	100	338049	338816	NP_RS01685
-1	1	338904	339362	NP_0664A	459	100	100	338904	339362	NP_RS01690
-1	1	348507	348842	NP_0692A	336	100	100	348507	348842	NP_RS01760
-1	1	350664	352178	NP_0696A	1515	100	100	350664	352178	NP_RS01770
-1	1	355488	356696	NP_0706A	1209	100	100	355488	356696	NP_RS01790
-1	1	364404	364691	NP_0720A	288	100	100	364404	364691	NP_RS01825
-1	1	366651	367310	NP_0728A	660	100	100	366651	367310	NP_RS01840
-1	1	367344	368858	NP_0730A	1515	100	100	367344	368858	NP_RS01845
-1	1	368952	369527	NP_0732A	576	100	100	368952	369527	NP_RS01850
-1	1	374646	376697	NP_0744A	2052	100	100	374646	376697	NP_RS01880
-1	1	376779	377594	NP_0746A	816	100	100	376779	377594	NP_RS01885
-1	1	378612	379997	NP_0750A	1386	100	100	378612	379997	NP_RS01895
-1	1	389538	390401	NP_0770A	864	100	100	389538	390401	NP_RS01945
-1	1	391713	391859	NP_0778A	0	0	0	-	-	
-1	1	401157	402011	NP_0798A	855	100	100	401157	402011	NP_RS02005
-1	1	402612	404102	NP_0802A	1491	100	100	402612	404102	NP_RS02015
-1	1	404145	404672	NP_0804A	528	100	100	404145	404672	NP_RS02020
-1	1	404736	405530	NP_0806A	795	100	100	404736	405530	NP_RS02025
-1	1	410271	410759	NP_0820A	489	100	100	410271	410759	NP_RS02060
-1	1	410853	411353	NP_0822A	501	100	100	410853	411353	NP_RS02065
-1	1	415971	417677	NP_0830A	1707	100	100	415971	417677	NP_RS02085
-1	1	418050	418604	NP_0834A	555	100	100	418050	418604	NP_RS02095
-1	1	419538	419822	NP_0840A	285	100	100	419538	419822	NP_RS02110
-1	1	426792	427232	NP_0856A	441	100	100	426792	427232	NP_RS02150
-1	1	437391	437843	NP_0876A	453	100	100	437391	437843	NP_RS02200
-1	1	438102	439139	NP_0878A	1038	100	100	438102	439139	NP_RS02210
-1	1	440031	442106	NP_0882A	2076	100	100	440031	442106	NP_RS02220
-1	1	443376	443648	NP_0886A	273	100	100	443376	443648	NP_RS02230
-1	1	443688	444878	NP_0888A	1191	100	100	443688	444878	NP_RS02235
-1	1	447025	447515	NP_0896A	482	98	100	447025	447506	NP_RS02255
-1	1	447639	449399	NP_0898A	1761	100	100	447639	449399	NP_RS02260
-1	1	449469	450446	NP_0900A	978	100	100	449469	450446	NP_RS02265
-1	1	451104	451886	NP_0906A	783	100	100	451104	451886	NP_RS02280
